Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
26,CA-2014-577538,07/22/2017,07/28/2017,First Class,CG-64321,Customer 26,Consumer,United States,City 26,Nevada,92545,West,TEC-4185-99,Technology,Machines,Product 26,411.02,1,0.0,93.13
27,CA-2015-989545,02/28/2016,03/05/2016,Second Class,CG-25906,Customer 27,Consumer,United States,City 27,Massachusetts,69830,East,TEC-3184-69,Technology,Phones,Product 27,586.16,13,0.7,-61.73
28,CA-2016-903013,10/01/2017,10/07/2017,Standard Class,CG-78327,Customer 28,Home Office,United States,City 28,Minnesota,73518,Central,TEC-4919-45,Technology,Copiers,Product 28,439.94,14,0.0,46.1
29,CA-2014-535020,06/21/2016,06/23/2016,First Class,CG-63424,Customer 29,Corporate,United States,City 29,Michigan,53370,Central,TEC-9890-69,Office Supplies,Envelopes,Product 29,44.89,3,0.0,19.85
30,CA-2017-664365,05/03/2016,05/05/2016,Standard Class,CG-81582,Customer 30,Home Office,United States,City 30,Alabama,89070,South,TEC-4613-72,Technology,Phones,Product 30,64.45,6,0.0,26.43
31,CA-2014-513160,03/28/2015,04/01/2015,Second Class,CG-87580,Customer 31,Home Office,United States,City 31,Florida,83976,South,TEC-1444-20,Office Supplies,Envelopes,Product 31,205.14,3,0.5,45.05
32,CA-2017-364525,08/11/2017,08/17/2017,Standard Class,CG-20735,Customer 32,Corporate,United States,City 32,North Carolina,71645,South,TEC-1317-79,Furniture,Tables,Product 32,698.41,6,0.4,12.69
33,CA-2015-596564,04/19/2014,04/27/2014,Standard Class,CG-97747,Customer 33,Home Office,United States,City 33,Michigan,24994,Central,TEC-4571-69,Technology,Phones,Product 33,126.02,4,0.0,-6.83
34,CA-2017-515922,12/05/2017,12/09/2017,Same Day,CG-35995,Customer 34,Consumer,United States,City 34,Ohio,19962,Central,TEC-4978-23,Technology,Phones,Product 34,314.84,1,0.6,10.89
35,CA-2017-210665,11/30/2017,12/06/2017,Standard Class,CG-66822,Customer 35,Home Office,United States,City 35,Idaho,57473,West,TEC-8532-29,Furniture,Tables,Product 35,574.74,9,0.2,27.72
36,CA-2016-572700,06/12/2016,06/16/2016,Standard Class,CG-41963,Customer 36,Corporate,United States,City 36,Kansas,70911,Central,TEC-7209-53,Technology,Copiers,Product 36,1841.01,5,0.0,245.02
37,CA-2015-189771,03/02/2014,03/08/2014,Second Class,CG-41635,Customer 37,Corporate,United States,City 37,Ohio,63272,Central,TEC-9004-81,Office Supplies,Appliances,Product 37,173.47,10,0.32,-18.75
38,CA-2016-546173,05/10/2015,05/16/2015,Standard Class,CG-82140,Customer 38,Corporate,United States,City 38,Kentucky,53358,South,TEC-6764-99,Furniture,Bookcases,Product 38,1046.93,5,0.32,36.38
39,CA-2016-859782,07/20/2016,07/24/2016,Standard Class,CG-87278,Customer 39,Corporate,United States,City 39,Michigan,78766,Central,TEC-5636-22,Furniture,Chairs,Product 39,817.72,13,0.32,-7.25
40,CA-2017-207570,02/04/2015,02/08/2015,Standard Class,CG-11607,Customer 40,Home Office,United States,City 40,Ohio,85244,Central,TEC-5658-70,Office Supplies,Labels,Product 40,140.78,1,0.2,21.54
41,CA-2016-189318,09/09/2016,09/15/2016,First Class,CG-42530,Customer 41,Consumer,United States,City 41,New York,25526,East,TEC-7818-87,Office Supplies,Supplies,Product 41,203.35,2,0.2,38.11
42,CA-2014-899787,05/07/2017,05/13/2017,Standard Class,CG-37235,Customer 42,Corporate,United States,City 42,Maine,91988,East,TEC-4457-43,Office Supplies,Supplies,Product 42,296.32,7,0.0,74.41
43,CA-2016-837135,09/16/2017,09/18/2017,Standard Class,CG-69510,Customer 43,Consumer,United States,City 43,Massachusetts,19330,East,TEC-4824-43,Technology,Phones,Product 43,1153.73,10,0.0,60.51
44,CA-2016-560485,07/06/2017,07/12/2017,Second Class,CG-26299,Customer 44,Consumer,United States,City 44,Delaware,71434,East,TEC-5982-99,Furniture,Furnishings,Product 44,1365.36,14,0.0,104.4
45,CA-2014-901909,04/06/2016,04/14/2016,First Class,CG-98117,Customer 45,Consumer,United States,City 45,Kentucky,45326,South,TEC-1659-32,Furniture,Furnishings,Product 45,1109.76,10,0.0,104.37
46,CA-2014-999398,08/23/2016,08/29/2016,Second Class,CG-31079,Customer 46,Corporate,United States,City 46,Tennessee,53229,South,TEC-7744-98,Furniture,Furnishings,Product 46,752.84,2,0.0,122.71
47,CA-2017-533321,10/13/2016,10/17/2016,Standard Class,CG-17104,Customer 47,Consumer,United States,City 47,Louisiana,34587,South,TEC-9494-56,Furniture,Storage,Product 47,505.21,13,0.0,122.78
48,CA-2015-844261,07/01/2017,07/07/2017,Standard Class,CG-30758,Customer 48,Home Office,United States,City 48,Florida,50731,South,TEC-1224-80,Furniture,Tables,Product 48,453.4,12,0.0,31.8
49,CA-2015-578975,04/17/2016,04/19/2016,First Class,CG-82255,Customer 49,Corporate,United States,City 49,New Mexico,28959,West,TEC-7284-34,Furniture,Chairs,Product 49,459.04,12,0.0,157.11
50,CA-2017-255813,05/14/2017,05/20/2017,First Class,CG-68529,Customer 50,Corporate,United States,City 50,Pennsylvania,80593,East,TEC-8935-54,Office Supplies,Fasteners,Product 50,256.33,14,0.0,82.15
51,CA-2017-504832,11/14/2015,11/20/2015,Standard Class,CG-96991,Customer 51,Home Office,United States,City 51,Kentucky,95462,South,TEC-3492-73,Office Supplies,Appliances,Product 51,194.57,14,0.4,-9.07
52,CA-2017-919488,03/19/2014,03/23/2014,First Class,CG-44737,Customer 52,Home Office,United States,City 52,Illinois,54376,Central,TEC-7512-93,Office Supplies,Art,Product 52,12.6,3,0.0,-10.72
53,CA-2014-555052,06/16/2014,06/24/2014,Standard Class,CG-22903,Customer 53,Home Office,United States,City 53,South Carolina,93067,South,TEC-2646-66,Technology,Copiers,Product 53,217.63,11,0.32,-9.11
54,CA-2015-283573,12/09/2014,12/15/2014,Standard Class,CG-20350,Customer 54,Corporate,United States,City 54,California,89888,West,TEC-7267-89,Office Supplies,Labels,Product 54,218.19,4,0.2,59.65
55,CA-2014-563187,11/02/2017,11/06/2017,Standard Class,CG-55293,Customer 55,Corporate,United States,City 55,New Jersey,87015,East,TEC-5901-91,Office Supplies,Paper,Product 55,9.65,13,0.0,3.18
56,CA-2017-387813,05/20/2016,05/26/2016,Standard Class,CG-11061,Customer 56,Corporate,United States,City 56,Tennessee,84178,South,TEC-1803-87,Furniture,Storage,Product 56,590.61,6,0.2,197.23
57,CA-2015-758765,10/16/2016,10/24/2016,Second Class,CG-22735,Customer 57,Consumer,United States,City 57,Michigan,92243,Central,TEC-1645-49,Technology,Machines,Product 57,1571.18,11,0.4,196.15
58,CA-2016-970813,06/23/2016,06/25/2016,Second Class,CG-31567,Customer 58,Corporate,United States,City 58,Ohio,43682,Central,TEC-8894-47,Furniture,Tables,Product 58,288.19,3,0.4,38.71
59,CA-2014-377304,11/27/2015,12/05/2015,Second Class,CG-80329,Customer 59,Home Office,United States,City 59,Georgia,26200,South,TEC-8451-57,Furniture,Chairs,Product 59,1470.52,14,0.4,11.23
60,CA-2015-779112,10/11/2017,10/17/2017,Second Class,CG-18285,Customer 60,Consumer,United States,City 60,Kansas,93284,Central,TEC-8606-99,Office Supplies,Envelopes,Product 60,238.38,10,0.5,21.0
61,CA-2017-715870,09/13/2015,09/19/2015,Same Day,CG-30253,Customer 61,Corporate,United States,City 61,Arizona,64380,West,TEC-2622-72,Furniture,Bookcases,Product 61,200.7,4,0.5,-23.79
62,CA-2016-163491,06/16/2017,06/22/2017,Standard Class,CG-62184,Customer 62,Consumer,United States,City 62,Texas,46161,Central,TEC-4109-25,Technology,Machines,Product 62,2378.86,14,0.0,813.68
63,CA-2015-952547,07/22/2016,07/24/2016,Standard Class,CG-40539,Customer 63,Corporate,United States,City 63,Rhode Island,53065,East,TEC-3417-86,Furniture,Bookcases,Product 63,215.11,10,0.0,66.47
64,CA-2016-116547,01/08/2014,01/12/2014,Standard Class,CG-32838,Customer 64,Consumer,United States,City 64,Massachusetts,44783,East,TEC-1858-26,Technology,Machines,Product 64,2172.8,3,0.0,613.1
65,CA-2016-580292,05/14/2016,05/20/2016,Standard Class,CG-94323,Customer 65,Home Office,United States,City 65,New Mexico,14083,West,TEC-1996-71,Office Supplies,Envelopes,Product 65,228.74,4,0.7,-38.31
66,CA-2016-499407,04/04/2016,04/10/2016,First Class,CG-88301,Customer 66,Consumer,United States,City 66,New Mexico,79542,West,TEC-5831-68,Technology,Copiers,Product 66,839.17,3,0.0,116.52
67,CA-2016-547494,11/03/2016,11/09/2016,Standard Class,CG-50963,Customer 67,Corporate,United States,City 67,Washington,97178,West,TEC-5176-57,Technology,Accessories,Product 67,609.81,6,0.4,15.05
68,CA-2016-802559,11/11/2014,11/17/2014,Standard Class,CG-26021,Customer 68,Consumer,United States,City 68,Georgia,63846,South,TEC-6793-95,Furniture,Bookcases,Product 68,1124.55,6,0.4,67.46
69,CA-2016-220465,05/18/2016,05/26/2016,Standard Class,CG-46512,Customer 69,Corporate,United States,City 69,Oregon,85249,West,TEC-4705-64,Technology,Machines,Product 69,1293.16,3,0.32,-29.54
70,CA-2015-693830,02/24/2017,03/04/2017,Standard Class,CG-96159,Customer 70,Consumer,United States,City 70,Idaho,62532,West,TEC-2140-28,Technology,Machines,Product 70,1771.61,5,0.6,-162.79
71,CA-2014-155164,07/22/2017,07/30/2017,Standard Class,CG-30392,Customer 71,Corporate,United States,City 71,Montana,30633,West,TEC-1815-96,Furniture,Storage,Product 71,261.39,5,0.32,43.23
72,CA-2017-652530,06/19/2014,06/23/2014,Standard Class,CG-97442,Customer 72,Corporate,United States,City 72,Kentucky,50426,South,TEC-1744-38,Technology,Copiers,Product 72,1899.61,2,0.0,165.3
73,CA-2015-235461,03/22/2016,03/30/2016,Second Class,CG-59834,Customer 73,Consumer,United States,City 73,California,79807,West,TEC-4770-74,Furniture,Tables,Product 73,1153.32,5,0.0,70.22
74,CA-2017-403578,02/20/2017,02/28/2017,Standard Class,CG-25096,Customer 74,Corporate,United States,City 74,Illinois,63089,Central,TEC-1341-51,Office Supplies,Labels,Product 74,460.98,14,0.0,78.59
75,CA-2015-449247,12/20/2014,12/28/2014,Standard Class,CG-32037,Customer 75,Consumer,United States,City 75,South Carolina,20012,South,TEC-9363-91,Furniture,Storage,Product 75,895.64,9,0.0,288.52
76,CA-2015-910389,08/24/2014,08/30/2014,Standard Class,CG-92306,Customer 76,Consumer,United States,City 76,Connecticut,74765,East,TEC-8601-82,Office Supplies,Binders,Product 76,131.7,3,0.2,42.84
77,CA-2016-584172,04/03/2017,04/09/2017,Standard Class,CG-69233,Customer 77,Consumer,United States,City 77,Wisconsin,14930,Central,TEC-1932-57,Furniture,Storage,Product 77,958.14,13,0.0,64.35
78,CA-2015-437145,08/13/2015,08/15/2015,Standard Class,CG-89299,Customer 78,Corporate,United States,City 78,Idaho,72342,West,TEC-9214-29,Technology,Copiers,Product 78,2387.87,12,0.6,-119.13
79,CA-2016-506235,05/09/2014,05/15/2014,Standard Class,CG-63578,Customer 79,Consumer,United States,City 79,Illinois,54351,Central,TEC-1857-90,Technology,Accessories,Product 79,1122.51,8,0.2,256.04
80,CA-2015-466813,08/20/2017,08/24/2017,Standard Class,CG-50662,Customer 80,Corporate,United States,City 80,Illinois,95991,Central,TEC-7421-26,Technology,Copiers,Product 80,2136.34,10,0.5,-103.49
81,CA-2014-777406,05/05/2017,05/11/2017,Second Class,CG-97878,Customer 81,Home Office,United States,City 81,Oregon,65497,West,TEC-9331-56,Technology,Copiers,Product 81,2042.3,11,0.32,440.87
82,CA-2014-794083,02/09/2014,02/13/2014,Standard Class,CG-54140,Customer 82,Consumer,United States,City 82,New Jersey,91007,East,TEC-3147-86,Office Supplies,Supplies,Product 82,73.09,2,0.0,21.24
83,CA-2017-345369,02/13/2016,02/17/2016,Standard Class,CG-79993,Customer 83,Consumer,United States,City 83,Rhode Island,41349,East,TEC-6070-70,Furniture,Storage,Product 83,1024.25,4,0.7,-37.86
84,CA-2014-772324,02/04/2015,02/08/2015,Standard Class,CG-72991,Customer 84,Home Office,United States,City 84,Kentucky,58656,South,TEC-2680-76,Office Supplies,Fasteners,Product 84,483.3,14,0.0,126.76
85,CA-2014-515712,09/15/2014,09/19/2014,Standard Class,CG-75799,Customer 85,Corporate,United States,City 85,Maryland,59016,East,TEC-4862-59,Office Supplies,Binders,Product 85,455.7,14,0.0,51.64
86,CA-2017-570392,06/19/2014,06/23/2014,Standard Class,CG-90654,Customer 86,Consumer,United States,City 86,Colorado,10689,West,TEC-2298-12,Furniture,Tables,Product 86,451.71,14,0.0,145.57
87,CA-2017-165858,06/11/2015,06/15/2015,Second Class,CG-24530,Customer 87,Consumer,United States,City 87,Maine,75514,East,TEC-9782-12,Technology,Copiers,Product 87,632.22,2,0.0,122.99
88,CA-2016-170966,07/20/2017,07/26/2017,Second Class,CG-78951,Customer 88,Consumer,United States,City 88,Massachusetts,81314,East,TEC-9312-74,Office Supplies,Fasteners,Product 88,124.08,7,0.0,32.02
89,CA-2014-908977,02/10/2017,02/12/2017,Standard Class,CG-86271,Customer 89,Corporate,United States,City 89,Florida,53584,South,TEC-3185-15,Technology,Copiers,Product 89,89.79,13,0.0,17.27
90,CA-2014-929538,12/25/2015,12/31/2015,Standard Class,CG-36144,Customer 90,Home Office,United States,City 90,Vermont,15493,East,TEC-6170-49,Technology,Copiers,Product 90,380.39,12,0.4,2.12
91,CA-2017-519453,11/23/2016,11/27/2016,Standard Class,CG-67637,Customer 91,Corporate,United States,City 91,Tennessee,60679,South,TEC-6554-33,Furniture,Chairs,Product 91,1177.84,14,0.32,16.64
92,CA-2016-793024,10/15/2016,10/21/2016,Standard Class,CG-48750,Customer 92,Home Office,United States,City 92,Iowa,50174,Central,TEC-8305-87,Office Supplies,Art,Product 92,218.15,14,0.0,14.24
93,CA-2014-803787,05/24/2016,05/28/2016,First Class,CG-93560,Customer 93,Home Office,United States,City 93,South Carolina,63243,South,TEC-6952-75,Office Supplies,Labels,Product 93,179.52,7,0.0,79.67
94,CA-2015-812048,10/25/2017,10/29/2017,Standard Class,CG-68972,Customer 94,Consumer,United States,City 94,Arizona,58624,West,TEC-7095-66,Technology,Copiers,Product 94,628.19,11,0.0,106.25
95,CA-2016-912609,06/09/2014,06/15/2014,Same Day,CG-44116,Customer 95,Consumer,United States,City 95,Missouri,68494,Central,TEC-4515-88,Office Supplies,Paper,Product 95,17.83,3,0.0,5.43
96,CA-2016-800280,08/10/2015,08/16/2015,Standard Class,CG-55537,Customer 96,Consumer,United States,City 96,Virginia,18512,South,TEC-9882-47,Furniture,Chairs,Product 96,1351.06,8,0.8,-17.57
97,CA-2016-590110,09/09/2015,09/17/2015,Same Day,CG-82305,Customer 97,Consumer,United States,City 97,Connecticut,27010,East,TEC-2412-18,Technology,Accessories,Product 97,1990.56,4,0.4,-201.1
98,CA-2015-969325,09/28/2015,10/02/2015,Standard Class,CG-82260,Customer 98,Home Office,United States,City 98,Louisiana,93860,South,TEC-3981-26,Office Supplies,Fasteners,Product 98,486.33,11,0.0,92.98
99,CA-2016-987025,06/07/2016,06/13/2016,Standard Class,CG-20336,Customer 99,Corporate,United States,City 99,Washington,42848,West,TEC-4216-91,Technology,Accessories,Product 99,840.52,12,0.0,281.7
100,CA-2016-983456,02/04/2017,02/08/2017,Second Class,CG-83874,Customer 100,Home Office,United States,City 100,Kansas,15400,Central,TEC-1464-20,Technology,Phones,Product 100,1499.93,10,0.0,380.24
101,CA-2015-943776,04/06/2014,04/14/2014,Second Class,CG-99783,Customer 101,Home Office,United States,City 101,Michigan,63228,Central,TEC-5873-68,Technology,Copiers,Product 101,1270.19,11,0.2,300.2
102,CA-2016-518084,06/01/2014,06/07/2014,Standard Class,CG-27139,Customer 102,Corporate,United States,City 102,Vermont,58568,East,TEC-9437-81,Office Supplies,Supplies,Product 102,305.3,6,0.5,2.97
103,CA-2015-952993,08/08/2014,08/12/2014,Standard Class,CG-52917,Customer 103,Consumer,United States,City 103,Georgia,85719,South,TEC-6123-34,Office Supplies,Supplies,Product 103,30.05,7,0.5,17.77
104,CA-2014-395023,11/25/2014,12/01/2014,Standard Class,CG-74866,Customer 104,Consumer,United States,City 104,Kentucky,88318,South,TEC-8710-46,Office Supplies,Supplies,Product 104,199.65,8,0.7,-38.92
105,CA-2016-177103,01/06/2017,01/08/2017,Standard Class,CG-60639,Customer 105,Home Office,United States,City 105,Utah,76094,West,TEC-8378-80,Furniture,Tables,Product 105,622.78,1,0.0,125.47
106,CA-2014-147504,07/29/2015,08/06/2015,Second Class,CG-15100,Customer 106,Corporate,United States,City 106,Arizona,27962,West,TEC-6456-70,Furniture,Storage,Product 106,528.46,6,0.4,-26.21
107,CA-2017-843167,12/01/2016,12/07/2016,Standard Class,CG-83783,Customer 107,Consumer,United States,City 107,Connecticut,49295,East,TEC-8780-12,Technology,Machines,Product 107,1560.43,14,0.0,248.62
108,CA-2015-856442,01/27/2016,01/31/2016,First Class,CG-16731,Customer 108,Home Office,United States,City 108,Utah,86484,West,TEC-8871-31,Technology,Machines,Product 108,1591.69,10,0.0,552.68
109,CA-2015-530311,12/11/2016,12/17/2016,Standard Class,CG-75774,Customer 109,Consumer,United States,City 109,North Carolina,90148,South,TEC-8726-17,Technology,Accessories,Product 109,1766.28,4,0.0,240.59
110,CA-2016-739711,12/18/2017,12/22/2017,Standard Class,CG-73462,Customer 110,Home Office,United States,City 110,Maine,35201,East,TEC-5038-45,Office Supplies,Supplies,Product 110,478.56,8,0.6,-47.61
111,CA-2016-227794,02/18/2017,02/22/2017,Second Class,CG-85166,Customer 111,Home Office,United States,City 111,Indiana,98687,Central,TEC-9899-58,Technology,Accessories,Product 111,826.75,6,0.2,281.98
112,CA-2016-689318,03/21/2016,03/29/2016,Standard Class,CG-45601,Customer 112,Home Office,United States,City 112,Maryland,27993,East,TEC-2789-88,Furniture,Tables,Product 112,1388.29,11,0.0,257.03
113,CA-2015-526673,04/18/2017,04/22/2017,Standard Class,CG-95575,Customer 113,Consumer,United States,City 113,Montana,72351,West,TEC-8822-93,Furniture,Chairs,Product 113,515.53,8,0.0,125.19
114,CA-2015-538184,02/15/2015,02/21/2015,Second Class,CG-33040,Customer 114,Consumer,United States,City 114,Wisconsin,14764,Central,TEC-7504-73,Office Supplies,Labels,Product 114,119.95,12,0.32,40.88
115,CA-2017-240718,01/19/2015,01/27/2015,Second Class,CG-76088,Customer 115,Home Office,United States,City 115,Texas,71345,Central,TEC-5470-34,Furniture,Tables,Product 115,1394.83,6,0.0,485.36
116,CA-2017-967161,08/21/2014,08/25/2014,Second Class,CG-66059,Customer 116,Consumer,United States,City 116,Tennessee,77539,South,TEC-6372-21,Technology,Accessories,Product 116,1987.38,10,0.32,-35.41
117,CA-2014-374258,04/02/2016,04/08/2016,Standard Class,CG-95679,Customer 117,Consumer,United States,City 117,Massachusetts,57128,East,TEC-4871-17,Office Supplies,Envelopes,Product 117,194.87,8,0.4,26.42
118,CA-2017-260626,10/01/2017,10/05/2017,Standard Class,CG-69634,Customer 118,Home Office,United States,City 118,Ohio,89396,Central,TEC-7121-63,Office Supplies,Paper,Product 118,458.48,5,0.0,71.59
119,CA-2014-691573,12/10/2017,12/16/2017,Second Class,CG-24707,Customer 119,Consumer,United States,City 119,Louisiana,18095,South,TEC-9972-74,Technology,Accessories,Product 119,1509.75,13,0.0,285.98
120,CA-2017-238353,02/21/2015,02/27/2015,Second Class,CG-77272,Customer 120,Consumer,United States,City 120,Massachusetts,64451,East,TEC-8484-82,Office Supplies,Supplies,Product 120,359.87,8,0.0,85.44
121,CA-2014-172371,05/01/2014,05/07/2014,Second Class,CG-71875,Customer 121,Consumer,United States,City 121,Texas,14160,Central,TEC-5703-62,Office Supplies,Paper,Product 121,291.26,1,0.0,77.41
122,CA-2014-287143,01/06/2015,01/12/2015,Standard Class,CG-80419,Customer 122,Corporate,United States,City 122,South Carolina,61519,South,TEC-9664-26,Office Supplies,Supplies,Product 122,342.95,11,0.5,-23.35
123,CA-2014-133782,04/04/2015,04/12/2015,Standard Class,CG-96533,Customer 123,Home Office,United States,City 123,Oregon,64951,West,TEC-1256-40,Office Supplies,Fasteners,Product 123,118.68,8,0.0,33.24
124,CA-2015-628373,03/01/2015,03/03/2015,Second Class,CG-47914,Customer 124,Consumer,United States,City 124,New Mexico,40693,West,TEC-6224-83,Technology,Phones,Product 124,1035.55,4,0.2,297.18
125,CA-2015-756401,05/11/2017,05/17/2017,Standard Class,CG-98965,Customer 125,Home Office,United States,City 125,Michigan,65995,Central,TEC-9120-16,Office Supplies,Binders,Product 125,209.71,5,0.0,85.35
126,CA-2015-944917,12/09/2015,12/17/2015,Standard Class,CG-70689,Customer 126,Corporate,United States,City 126,Louisiana,17553,South,TEC-7761-63,Office Supplies,Fasteners,Product 126,191.35,13,0.2,12.41
127,CA-2014-381502,02/17/2017,02/23/2017,Second Class,CG-59436,Customer 127,Corporate,United States,City 127,Virginia,98300,South,TEC-1647-19,Office Supplies,Appliances,Product 127,461.5,14,0.0,110.41
128,CA-2017-354377,01/23/2015,01/31/2015,Same Day,CG-89220,Customer 128,Corporate,United States,City 128,Vermont,36806,East,TEC-7498-40,Furniture,Tables,Product 128,52.54,4,0.7,9.75
129,CA-2016-312994,02/06/2017,02/10/2017,Standard Class,CG-58589,Customer 129,Corporate,United States,City 129,Missouri,51016,Central,TEC-7781-15,Office Supplies,Envelopes,Product 129,258.84,8,0.0,84.18
130,CA-2016-369826,02/28/2017,03/08/2017,Standard Class,CG-74044,Customer 130,Corporate,United States,City 130,New York,94109,East,TEC-9037-68,Office Supplies,Fasteners,Product 130,168.28,7,0.2,22.85
131,CA-2014-957730,12/13/2014,12/19/2014,Standard Class,CG-97584,Customer 131,Corporate,United States,City 131,Ohio,16359,Central,TEC-1104-62,Furniture,Furnishings,Product 131,1337.37,11,0.7,-83.82
132,CA-2017-791309,10/11/2014,10/19/2014,Standard Class,CG-73944,Customer 132,Consumer,United States,City 132,Pennsylvania,12062,East,TEC-1108-78,Technology,Accessories,Product 132,1167.22,1,0.2,296.5
133,CA-2015-212214,02/05/2017,02/11/2017,Same Day,CG-22624,Customer 133,Home Office,United States,City 133,Montana,78733,West,TEC-3439-40,Technology,Machines,Product 133,92.0,14,0.32,22.3
